Day,Month,Year,Avg_Temp,Max_Temp,Min_Temp,Atm_Pressure_sealevel,Avg_Relative_Humidity,Total_rainfall_snowmelt,Avg_Visibility,Avg_Windspeed,Max_Windspeed
1,12,2017,28.7,34,25,-,74,-,9.5,6.7,13
2,12,2017,28.4,33,25,-,80,-,8.9,5.9,16.5
3,12,2017,28.4,33,25,-,81,-,9.2,5.9,14.8
4,12,2017,26.8,32,25,-,92,-,8,6.1,14.8
5,12,2017,27.4,31,24,-,88,-,7.9,5,13
6,12,2017,28.4,33,25,-,79,0,8.9,5.4,13
7,12,2017,28.4,33,25,-,82,-,7.1,4.6,14.8
8,12,2017,27.6,34,22,-,73,-,8.4,8,14.8
9,12,2017,26.3,31,21,-,72,0,9.2,6.9,14.8
10,12,2017,26.5,31,22,-,77,0,8.2,5.9,13
11,12,2017,27.7,32,24,-,73,0,8.2,9.1,18.3
12,12,2017,27.6,32,24,-,82,-,7.9,6.3,14.8
13,12,2017,27.9,32,25,-,85,-,8.5,8.3,16.5
14,12,2017,27.2,31,24,-,87,-,8.7,8,16.5
15,12,2017,27.7,32,24,-,85,-,6.8,6.7,13
16,12,2017,27.3,31,23,-,79,-,8.7,6.1,14.8
17,12,2017,26.2,32,20,-,59,0,10,12.2,22.2
18,12,2017,24.8,30,20,-,59,0,9.8,10.4,16.5
19,12,2017,24.4,29,21,-,56,-,8.4,11.7,22.2
20,12,2017,23.4,27,21,-,62,0,9.8,16.1,24.1
21,12,2017,24.3,29,21,-,71,-,10,16.5,27.8
22,12,2017,26.7,32,22,-,74,0,10,8.7,16.5
23,12,2017,27.7,33,23,-,75,0,9.7,7.8,13
24,12,2017,27.4,32,23,-,62,-,10,13.7,27.8
25,12,2017,21.8,24,21,-,90,-,7.7,12,22.2
26,12,2017,26.8,31,22,-,88,0,9.3,10.2,20.6
27,12,2017,27.5,31,25,-,83,0,7.4,8.1,22.2
28,12,2017,28.6,33,24,-,79,0,8.5,7.4,18.3
29,12,2017,28.1,33,23,-,79,-,8.5,6.3,18.3
30,12,2017,28.3,33,23,-,70,0,10,8.5,13
31,12,2017,28.3,33,23,-,70,0,10,8.5,13
